K,n_per_facility,sigma,heterogeneity,is_universal,overlap,obs_overlap,r2_lofo,p_naive,p_strat,thr_says_universal,perm_says_universal,strat_says_universal,thr_correct,perm_correct,strat_correct
3,69,0.2002525655011705,0.7541578810819384,True,0.4933704891870121,0.5039571558574588,0.9338630125116312,0.94,0.96,True,True,True,True,True,True
10,52,0.4331695926437304,1.3574205538152677,True,0.8562116210619835,0.8445450583974078,0.809255744291969,0.56,0.62,True,True,True,True,True,True
11,42,0.10647851970601901,0.9368059650425791,True,0.7510954998289061,0.7242416380540697,0.9843944849042653,0.41,0.45,True,True,True,True,True,True
11,78,0.05181743553731516,0.7769632493685533,False,0.5931895058858643,0.556598365698709,0.174695493839654,0.01,0.01,True,False,False,False,True,True
9,76,0.4599515125876239,1.6999572001917123,False,0.45902963861271484,0.4096689071891556,-0.33900531844142123,0.01,0.01,False,False,False,True,True,True
3,57,0.26181331061277463,0.5858856152241407,True,0.960701790850725,0.9468896481577751,0.9321173131453874,0.73,0.71,True,True,True,True,True,True
11,79,0.40813717649241193,1.8291332372608118,True,0.2651624365561045,0.21501963104520214,0.8304518726609843,0.17,0.26,True,True,True,True,True,True
5,46,0.39347385420336745,1.106584547163249,True,0.4189283095729279,0.35565756767775597,0.8679302936405171,0.68,0.62,True,True,True,True,True,True
11,42,0.5981076831599959,1.3815924760856797,False,0.3576294821332249,0.2988481646486014,0.006915979756650703,0.01,0.01,True,False,False,False,True,True
5,28,0.18617764098200384,1.6039291574010834,False,0.7813101145791913,0.7093020278336613,-0.4379025827205678,0.01,0.01,False,False,False,True,True,True
3,16,0.07589105284477304,1.263668724418139,True,0.31457333326214,0.27247419914274745,0.9903811593137493,0.11,0.13,True,True,True,True,True,True
5,37,0.19373277806367434,0.5340008464170156,False,0.24162772542468103,0.20951014116723027,-0.7360565062029998,0.01,0.01,False,False,False,True,True,True
8,56,0.4463196163652424,0.3246631124152608,True,0.05590185884545251,0.044746039081487166,0.8201370112093179,0.84,0.95,True,True,True,True,True,True
7,32,0.08002592735922465,0.6898786242910597,False,0.4335713831116058,0.3709177246300432,-0.5539549158526529,0.01,0.01,False,False,False,True,True,True
8,20,0.5297622180906612,1.786493508749968,False,0.40926217309406665,0.3396992326220091,-0.6070691986551062,0.01,0.01,False,False,False,True,True,True
9,53,0.05732878931513909,0.3104012736443154,True,0.1687146522335431,0.12976230665783745,0.9954758475432716,0.33,0.37,True,True,True,True,True,True
12,44,0.4398654667352616,1.2853255574426337,False,0.4321162643505634,0.3713702107261035,0.10000536019277873,0.01,0.01,True,False,False,False,True,True
3,64,0.2923158124137495,1.289284274273669,False,0.36920568603359993,0.3624620447498705,-2.2665031664803097,0.01,0.01,False,False,False,True,True,True
4,31,0.2305139649435608,0.346095871105514,False,0.5378015918577606,0.5311523714041294,-1.343136849144238,0.01,0.01,False,False,False,True,True,True
10,43,0.3931734690828985,0.8313565431724053,True,0.03748100229918505,0.027342598653602085,0.8591527517680744,0.59,0.62,True,True,True,True,True,True
8,21,0.07333709620179203,0.38758855605883363,False,0.6606361059225833,0.5758265286420035,-0.27886568227723507,0.01,0.01,False,False,False,True,True,True
6,31,0.43596267967195895,0.8510253965412151,True,0.5257677156108358,0.476477817463409,0.7756583868106006,0.96,0.93,True,True,True,True,True,True
8,17,0.5967026784963797,1.344818748132106,True,0.8437554851369806,0.7454222223653189,0.6817168211108651,0.17,0.22,True,True,True,True,True,True
