K,n_per_facility,sigma,heterogeneity,is_universal,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
3,47,0.4121480516172601,1.1947436253809376,True,0.8758029478370082,True,-0.47136929824327134,-0.45542359820549605,True,0.40052385843381133,0.007120104002920721,0.64,True,True,True,103
8,81,0.489566866022702,0.7548792044335273,False,-0.1692590005448653,False,-0.5811801596333053,-0.2121289066153178,True,2.5248105310701368,0.1863840477250156,0.01,False,True,True,104
15,7,0.5727775924408475,1.272777492052035,False,-0.14918467265665236,False,-0.8347817457017382,-0.014817797387801049,True,6.663288710913725,0.5006953683330652,0.01,False,True,True,105
19,31,0.45736467910029777,2.6756891190306424,False,-0.118237693469879,False,-0.8906627532119635,0.4469547247499838,False,10.764807354288005,0.8097272640253295,0.01,False,True,True,106
10,5,0.22703854433036896,1.0354054963749069,False,-0.24445926575747912,False,-0.9096011911167985,-0.009042729526489712,True,3.404119627566157,0.23961991955669712,0.01,False,True,True,107
6,28,0.27637725319672013,1.147708891057706,True,0.9381062865880118,True,-0.4829789387710224,-0.43842759534731673,True,0.2535191502783991,0.0323728205200541,0.32,True,True,True,108
10,93,0.16915526310134424,2.933784924571111,False,-0.238039434597771,False,-0.6652008732674142,0.724436562276603,False,10.982400108981974,0.9268750527763764,0.01,False,True,True,109
11,18,0.4446951143243337,0.8092953237562099,True,0.8328470800679854,True,-0.4641320278468865,-0.44168806563350677,True,0.42670303572970225,0.019858880620927454,0.61,True,True,True,110
9,69,0.5430546872163048,1.0264725107099109,True,0.7537172848106254,True,-0.47029140464560354,-0.4137837775856395,True,0.5289985607343632,0.044494219428429904,0.13,True,True,True,111
10,53,0.19488427308228262,2.741974198804252,True,0.9634083465071672,True,-0.4584453429412065,-0.44490842384498597,True,0.18872508473562308,0.011752542743029313,0.87,True,True,True,112
7,91,0.20123801416032266,1.1754787164704625,True,0.9645967328918589,True,-0.4609722135951901,-0.4462667039258128,True,0.18885059108376887,0.010974930010260503,0.56,True,True,True,113
20,25,0.20055848669301762,0.9146381675241737,False,-0.016049510767430775,False,-0.7260257225820607,-0.4223730915057025,True,3.722274381461095,0.25285540531212697,0.01,False,True,True,114
8,15,0.3942851546180014,0.28481989388538664,True,0.8599066421144055,True,-0.49103129376986865,-0.4019800007053066,True,0.3684058423991586,0.057337799202706576,0.15,True,True,True,115
6,34,0.5200280315327805,1.0815054649626172,False,-0.34506959492397304,False,-0.6832458348058829,-0.2968698375797686,True,3.4810889965573915,0.2591177600187813,0.01,False,True,True,116
15,41,0.4041998673255341,2.470601093400139,False,-0.15474135066868033,False,-0.6407545205169005,0.7986008489789937,False,11.527682805380419,0.7732947797256797,0.01,False,True,True,117
9,20,0.16356533051212283,0.46658087246381996,False,0.09544086544817687,True,-0.5364584612914634,-0.3641546362850294,True,1.755515719990982,0.11086371913117615,0.01,False,True,False,118
10,55,0.33310451467553065,2.315675758165353,False,-0.15182083696466875,False,-1.023672173359713,-0.39423963882124674,True,5.805666789928867,0.4370687063369827,0.01,False,True,True,119
5,15,0.10955466418522511,1.3454607475619578,True,0.9865490639382073,True,-0.45667348188871915,-0.4422043226507766,True,0.11464591518896909,0.012424621898629995,0.66,True,True,True,120
16,35,0.19130374096414765,0.5993992827829012,False,-0.012501375978335671,False,-0.5825604249997103,-0.32094399262402573,True,2.6451737484515028,0.18658938434279912,0.01,False,True,True,121
13,64,0.18607134555338467,2.576889325889005,False,-0.15674271493418157,False,-1.6003942517263594,0.008818849444978662,False,15.572612714265851,1.0868793149281002,0.01,False,True,True,122
18,42,0.4528159920845722,2.227141951227002,True,0.8358423231732248,True,-0.4764637607708452,-0.44176863549981354,True,0.45502207194921956,0.03718767900185201,0.1,True,True,True,123
2,69,0.08212916431729853,1.0346785053937908,False,-2.7057150567313344,False,-0.55187204666519,-0.13285929308924804,True,3.0195449478573417,0.2095063767879706,0.01,False,True,True,124
20,31,0.23564252180962691,0.2854733832628489,True,0.9453650139352003,True,-0.4631959037415497,-0.4475771507608161,True,0.22909092975456574,0.018196354609211006,0.47,True,True,True,125
11,44,0.36057390656715665,0.12160613095568573,False,0.7453886896768596,True,-0.4723343270329834,-0.4141824105503064,True,0.5049080631745028,0.03767881441255851,0.01,False,True,False,126
15,91,0.49306806431960437,2.840189405877935,True,0.7983116858935081,True,-0.46048139640668756,-0.4290679810330222,True,0.48834804244176966,0.03218850358273778,0.63,True,True,True,127
7,78,0.16705479505510035,0.05724761703414605,True,0.9746616095155136,True,-0.4566532522039446,-0.4426992488714066,True,0.15450388642974439,0.00965755449422926,0.83,True,True,True,128
7,22,0.28637393591180377,1.7554418159364673,False,-0.381485287018692,False,-0.30914501257529703,0.32522485416092645,False,5.856361424778747,0.36053382957796126,0.01,False,True,True,129
14,11,0.4718380444780921,0.4146926093531218,True,0.836932008823683,True,-0.48638255358050975,-0.43666604709310153,True,0.4226978848285142,0.05494892890680018,0.49,True,True,True,130
16,100,0.454476132006318,1.0648200272047417,False,-0.06108007397691373,False,-0.7599969098094169,-0.3037820994355711,True,4.4888798561439005,0.3465739507911221,0.01,False,True,True,131
2,76,0.21257435742000552,0.8024366148138578,True,0.9577465737350491,True,-0.48243772511116545,-0.45422050748177195,True,0.20023120360278365,0.014108608814696666,0.12,True,True,True,132
9,16,0.24951132556107575,1.7792477568794944,True,0.9351793361861775,True,-0.48016933468933,-0.4340327904153854,True,0.2593862679188471,0.03810829883243541,0.74,True,True,True,133
17,26,0.48512734057743473,1.020944654829412,False,-0.09377496463858304,False,-0.5905976621544429,-0.17879902178057513,True,3.743906229538764,0.28031376313233225,0.01,False,True,True,134
18,81,0.25085401788392847,0.037254161781166584,True,0.9355413489684465,True,-0.4493270527915586,-0.43601127574105153,True,0.25083484941302525,0.014742835562619181,0.02,False,False,True,135
6,34,0.3095714513239078,1.6790328579030551,True,0.9192426163188614,True,-0.4813849558400744,-0.45740270934300886,True,0.29055981162920874,0.013927015044473126,0.44,True,True,True,136
6,71,0.2926846596520881,0.28961069306003484,False,0.2714690017713278,True,-0.5087604379123658,-0.3968949693763914,True,1.0142824458922193,0.07485500256160904,0.01,False,True,False,137
20,13,0.09861551058651588,0.2177954879002335,True,0.9889943360716171,True,-0.46035453325115994,-0.44852731359021725,True,0.10212844823993862,0.020281116605872368,0.12,True,True,True,138
7,50,0.535162399665488,1.5418464588621053,True,0.7248848828691666,True,-0.48751696129343064,-0.40853508416955064,True,0.5584956081292768,0.059520716650014766,0.01,False,False,True,139
16,99,0.3840147971561579,0.19592938299924845,False,0.693625288054516,True,-0.4475064071525129,-0.4046262586952754,True,0.5941995556135622,0.02964285338221046,0.01,False,True,False,140
