is_universal,obs_min_fold_overlap,thr_correct,perm_correct,strat_correct,bin
True,0.17491443749517868,True,False,False,0.10-0.20
True,0.029198689379129145,True,True,True,0.02-0.05
False,0.0884239886164814,True,True,True,0.05-0.10
False,0.1389626129482049,True,True,True,0.10-0.20
False,0.20548198975022813,True,True,True,
False,0.057948291253709,True,True,True,0.05-0.10
False,0.20726474367218148,True,True,True,
False,0.06645560288152416,True,True,True,0.05-0.10
True,0.18614634448528827,True,True,True,0.10-0.20
False,0.13505210073101806,True,True,True,0.10-0.20
False,0.1049466223228322,False,True,True,0.10-0.20
False,0.1823940578210847,True,True,True,0.10-0.20
False,0.06944540121547402,True,True,True,0.05-0.10
True,0.03352557511970318,True,False,True,0.02-0.05
False,0.1361140684057324,True,True,True,0.10-0.20
False,0.062526427011442,True,True,True,0.05-0.10
False,0.1710752834401924,True,True,True,0.10-0.20
True,0.12194593831291284,True,True,True,0.10-0.20
True,0.15247879799849828,True,True,True,0.10-0.20
False,0.04712820683448616,True,True,True,0.02-0.05
False,0.09137870764819178,True,True,True,0.05-0.10
True,0.05923570862178827,True,True,True,0.05-0.10
True,0.22293120997904342,True,True,True,
True,0.013227065532656486,True,True,True,0.01-0.02
False,0.18239276996449116,True,True,True,0.10-0.20
True,0.1299580869329478,True,False,False,0.10-0.20
